"","Date","Elevation.ft","Storage.af","Evaporation.af","Inflow.cfs","UnregInflow.cfs","Power.cfs","Bypass.cfs","Spillway.cfs","Total.cfs","MaxT","MinT","Precip","Snow","MWH"
"1",2003-01-01,7446.05,290948,121,312,297,180,0,NA,184,34.5,-2.6,NA,NA,NA
"2",2003-02-01,7446.43,292288,149,299,289,273,NA,NA,273,39.5,4.7,0.57,16.4,NA
"3",2003-03-01,7449.6,310318,298,440,432,142,NA,NA,142,44.5,18.8,0.03,2.5,NA
"4",2003-04-01,7447.57,298664,471,650,699,838,NA,NA,837,59.7,24.6,NA,NA,NA
"5",2003-05-01,7466.19,410505,719,2516,2826,686,NA,NA,686,66.5,33.1,1,NA,NA
"6",2003-06-01,7480.55,511548,1138,2529,2863,812,NA,NA,812,77,40.4,0.6,0,13720
"7",2003-07-01,7473.26,458085,1151,798,704,1648,NA,NA,1648,89,52,0.12,0,974
"8",2003-08-01,7465.04,404657,877,656,538,1510,NA,NA,1510,82.2,49.2,1.59,0,26135
"9",2003-09-01,7462.45,386515,686,755,760,1048,NA,NA,1048,70.9,37.7,2.41,0,16927
"10",2003-10-01,7458.78,363772,413,410,428,773,NA,NA,773,66.9,29.9,0.62,0,12739
"11",2003-11-01,7459.81,370076,201,376,395,267,NA,NA,267,42.5,20.1,1.72,0.3,4019
"12",2003-12-01,7460.86,376564,144,349,358,241,NA,NA,241,34.3,9.2,0.14,3.8,3731
"13",2004-01-01,7461.96,383119,148,330,339,221,NA,NA,221,19.5,-8.1,0.3,0.2,3528
"14",2004-02-01,7463.03,390179,196,329,337,203,0,NA,203,27.8,-0.5,0.6,4.7,5029
"15",2004-03-01,7467.75,420757,383,717,747,213,0,0,213,51.2,20.4,0.01,0,3447
"16",2004-04-01,7472.65,453871,639,1082,1146,515,0,-2147483648,515,57.9,30.2,0.44,2,8300
"17",2004-05-01,7487.46,561742,980,2294,2499,524,0,0,524,70,34.5,0.03,0,8675
"18",2004-06-01,7496.91,634862,1298,2145,2260,907,0,0,907,78.2,39.1,0.44,0,15785
"19",2004-07-01,7493.9,612817,1361,1173,1054,1509,0,0,1509,82,46.7,1.33,0,27816
"20",2004-08-01,7486.8,559602,1069,667,459,1515,0,0,1515,78.7,42.9,0.39,0,27593
"21",2004-09-01,7479.53,507455,832,539,372,1402,0,0,1402,71.5,37,0.91,0,24060
"22",2004-10-01,7476.36,480173,476,495,464,943,0,0,943,58.6,28.8,4.39,2,16100
"23",2004-11-01,7478.33,493608,235,417,432,187,0,0,187,46.9,21.4,0.67,5.2,2955
"24",2004-12-01,7478.08,491453,167,332,342,364,0,0,364,26.7,1.6,0.2,4.1,6012
