"Date","Elevation","Storage","Evaporation","Inflow","UnregInflow","Power","Bypass","Spillway","Total"
2003-01-01,7446.05,290948,121,312,297,180,0,NA,184
2003-02-01,7446.43,292288,149,299,289,273,NA,NA,273
2003-03-01,7449.6,310318,298,440,432,142,NA,NA,142
2003-04-01,7447.57,298664,471,650,699,838,NA,NA,837
2003-05-01,7466.19,410505,719,2516,2826,686,NA,NA,686
2003-06-01,7480.55,511548,1138,2529,2863,812,NA,NA,812
2003-07-01,7473.26,458085,1151,798,704,1648,NA,NA,1648
2003-08-01,7465.04,404657,877,656,538,1510,NA,NA,1510
2003-09-01,7462.45,386515,686,755,760,1048,NA,NA,1048
2003-10-01,7458.78,363772,413,410,428,773,NA,NA,773
2003-11-01,7459.81,370076,201,376,395,267,NA,NA,267
2003-12-01,7460.86,376564,144,349,358,241,NA,NA,241
2004-01-01,7461.96,383119,148,330,339,221,NA,NA,221
2004-02-01,7463.03,390179,196,329,337,203,0,NA,203
2004-03-01,7467.75,420757,383,717,747,213,0,0,213
2004-04-01,7472.65,453871,639,1082,1146,515,0,-2147483648,515
2004-05-01,7487.46,561742,980,2294,2499,524,0,0,524
2004-06-01,7496.91,634862,1298,2145,2260,907,0,0,907
2004-07-01,7493.9,612817,1361,1173,1054,1509,0,0,1509
2004-08-01,7486.8,559602,1069,667,459,1515,0,0,1515
2004-09-01,7479.53,507455,832,539,372,1402,0,0,1402
2004-10-01,7476.36,480173,476,495,464,943,0,0,943
2004-11-01,7478.33,493608,235,417,432,187,0,0,187
2004-12-01,7478.08,491453,167,332,342,364,0,0,364
2005-01-01,7477.11,485653,170,351,368,442,0,0,442
2005-02-01,7473.39,460724,209,347,356,792,0,0,792
2005-03-01,7467.3,421022,404,442,444,1082,0,0,1082
2005-04-01,7460.89,377249,597,1031,1052,1757,0,0,1757
2005-05-01,7475.73,471486,850,3012,3178,1466,0,0,1466
2005-06-01,7496.06,624401,1236,3614,3877,1023,0,0,1023
2005-07-01,7498.38,648085,1380,1704,1617,1297,0,0,1297
2005-08-01,7496.16,630106,1110,1043,869,1317,0,0,1317
2005-09-01,7490.91,588444,884,572,428,1257,0,0,1257
2005-10-01,7489.34,576220,517,680,689,870,0,0,870
2005-11-01,7489.89,580491,255,452,459,376,0,0,376
2005-12-01,7489.99,581269,181,414,414,398,0,0,398
2006-01-01,7489.06,574054,184,404,406,519,0,0,519
2006-02-01,7488.48,569576,229,399,386,476,0,0,476
2006-03-01,7487.77,564118,457,602,592,683,0,0,683
2006-04-01,7492.66,602197,728,1689,1744,1037,0,0,1037
2006-05-01,7510.68,751761,1111,3274,3517,824,0,0,824
2006-06-01,7517.05,808359,1470,2506,2606,1531,0,0,1531
2006-07-01,7513.07,772742,1520,1350,1242,1904,0,0,1904
2006-08-01,7506.88,718986,1190,1119,971,1974,0,0,1974
2006-09-01,7500.66,666782,932,801,684,1663,0,0,1663
2006-10-01,7499.59,657978,547,932,1024,1084,0,0,1084
2006-11-01,7498.1,645806,269,591,623,781,0,0,781
2006-12-01,7490.78,587427,186,421,426,1368,0,0,1368
2007-01-01,7482.56,524818,180,351,342,1366,0,0,1366
2007-02-01,7478.89,497936,216,391,380,872,0,0,872
2007-03-01,7481.01,513383,430,828,856,570,0,0,570
2007-04-01,7483.72,533453,697,1078,1129,729,0,0,729
2007-05-01,7500.42,664801,1060,2826,3078,673,0,0,673
2007-06-01,7514.6,786336,1413,2824,2905,758,0,0,758
2007-07-01,7513.48,776373,1508,1317,1149,1455,0,0,1455
2007-08-01,7510.4,749321,1207,1179,1044,1599,0,0,1599
2007-09-01,7503.06,686714,950,740,638,1776,0,0,1776
2007-10-01,7498.53,649309,553,645,639,1244,0,0,1244
2007-11-01,7494.31,615285,265,414,414,982,0,0,982
2007-12-01,7489.9,580567,183,426,433,988,0,0,988
2008-01-01,7481.92,520082,180,388,393,1368,0,0,1368
2008-02-01,7472.73,454424,221,376,373,1513,0,0,1513
2008-03-01,7470.5,439177,403,541,497,782,0,0,782
2008-04-01,7466.24,410832,619,1909,1706,2375,0,0,2375
2008-05-01,7475.27,472117,913,5075,5174,3242,821,0,4063
2008-06-01,7503.56,690900,1263,6439,6869,2408,334,0,2741
2008-07-01,7511.87,762170,1471,2855,2792,1672,0,0,1672
2008-08-01,7507.44,723775,1190,1337,1145,1942,0,0,1942
2008-09-01,7498.61,649962,932,704,587,1929,0,0,1929
2008-10-01,7492.14,598095,533,543,538,1378,0,0,1378
